id,nombre,compania,compania_nombre,director,dramaturgo,anio_estreno,genero,publico,duracion,comunas,espacios,espacios_nombre,festivales,festivales_nombre,descripcion,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
OBR-0053,El niño y los sortilegios,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,ópera,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Fantasía lírica de M. Ravel (2026, Viviana Hernández Silva, $32.200.044)."
OBR-0054,Alicia Morel y los reinos de la Tierra,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124 | FUE-0117,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'Los Reinos de la Tierra (Centenario Alicia Morel)' (2022) y 'Alicia Morel y los reinos de la Tierra' (títeres 2023), Alejandra Estrella Thayer Joui."
OBR-0055,El barniz del desierto,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0117,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Títeres 2023, Oscar Humberto Berríos Inostroza ($14.999.584)."
OBR-0056,A la Memoria de Carla Korman,COMP-0016,Titiricaos,Paola Escudero Navia,NO ENCONTRADO,NO ENCONTRADO,títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0117,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Títeres 2023, Paola Alejandra Escudero Navia ($11.325.427); vínculo con Titiricaos por su directora."
OBR-0057,"La Ruta de La Quebrada. Relatos, Canciones y Recetas de una Comunidad",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0117,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Títeres 2023, Ana Catherine Sagredo Núñez ($23.803.445)."
OBR-0058,Nativos Polinizadores,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,títeres de gran formato (callejero),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Espectáculo callejero con títeres de gran formato (2022, Waleska Arleth Vilches Valdivia, $14.993.525)."
OBR-0059,Informe para una academia,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Teatro 2022, Christopher Camilo Ortega Silva ($19.761.264)."
OBR-0060,Terrapolis,COMP-0100,Abisal,Bárbara Pestan,NO ENCONTRADO,2023,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso | quintero | san-antonio | el-quisco,ESP-0021 | ESP-0076 | ESP-0002 | ESP-0012,Sala Insomnia Teatro Condell | Casino de funcionarios de la Biblioteca Municipal de Quintero | Centro Cultural San Antonio | Centro Cultural Camilo Mori,NO ENCONTRADO,NO ENCONTRADO,"Montaje sobre el daño ambiental en las zonas de sacrificio de Quintero y Puchuncaví, escrito desde la mirada de las mujeres del territorio. Elenco: Javiera Mendoza, Daniela Fernández, Andrea Osorio. Estreno 2023 en el Parque Cultural de Valparaíso; financiada por el Fondo de Artes Escénicas (composición escénica 2021, creación y producción 2022). Cada función incluye foro con la directora y organizaciones ambientales.",FUE-0124 | FUE-0144 | FUE-0145,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Teatro 2022, Bárbara Andrea Pestan Florás ($19.999.568)."
OBR-0061,Clowntra todos,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,clown,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Espectáculo clown con adultos mayores basado en Macbeth (2022, Camilo Andrés Romero Rojas)."
OBR-0062,Cuéntamelo a los ojos,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,narración gestual (comunidad sorda),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"2022, Pablo Ignacio Abarca Carrazana ($11.947.835)."
OBR-0063,Mujer de Preñez Húngara,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Remontaje 2022, Christian David Oyarzún Navarrete."
OBR-0064,El Abismo de los Pájaros,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Remontaje 2022, María Angélica Luzzi Olsen."
OBR-0065,Gómez,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Diamela Eltit (texto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0126,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'GÓMEZ de Diamela Eltit en Gira por Colombia' (2022, Claudio Omar Rodríguez Espinoza)."
OBR-0066,Hijo Pródigo,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0126,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'Hijo Pródigo en Buenos Aires' (circulación 2022, Camila Antonia Guggiana Stuparich)."
OBR-0067,Un botón en mi cabeza,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0109,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Gira Colombia 2024, Enrique Ignacio Crohare Niño."
OBR-0068,La historia de una mujer que regaba su planta con una cuchara,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0117,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Teatro 2023, Angela Paulina Sepúlveda Rojas ($19.352.458)."
OBR-0069,Partes y Piezas,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,circo,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0117,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Circo 2023, Luciana Gabriela Mosca Spinetto ($24.140.300)."
OBR-0070,Contrahílo — mujeres que tejen en el aire,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,circo aéreo / interdisciplinar,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124 | FUE-0098,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Residencia 2022 y creación 2025, Juliana da Silva Martins."
OBR-0071,Azul y el bosque extinto,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,infantil,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0098,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Montaje interdisciplinar para infancias (2025, Jacinta María Egaña Kaulen, $22.103.804)."
OBR-0072,Con la cabeza en las nubes,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,infantil,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Obra teatral pensada en todas las infancias (2026, Olinda Inés Melchor Lara)."
OBR-0073,"Vida y hazañas del señor Erik Satie, fonometrógrafo",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0098 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Composición (2025) y creación títeres 2026 ($24.865.303), Sebastián Fernando Farah Rodríguez."
OBR-0074,Niño Zombie y el oráculo personal,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Títeres 2026, Jasson Guillermo Guaico Núñez ($24.999.946)."
OBR-0075,El viaje de Mamadú,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Títeres 2026, Eric Estrada Vega ($25.000.000)."
OBR-0076,Un marciano en Júpiter,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,teatro de marionetas,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Obra de teatro de marionetas por la diversidad y la inclusión social (2026, René Leonardo Rojas Escalona)."
OBR-0077,El Piuchén de Paihuén,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,miniatura escénica,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Miniatura escénica del misterio campesino (2026, Daniel Alexis Silva Escobar)."
OBR-0078,Memorias en tren,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,narración oral,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124 | FUE-0109 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Zenith Claudia Navarrete Ruiz: composición 2022, 'Wellcome to the Train' gira 2024, circulación nacional 2026 ('Memorias en Tren: Lo que me han contado')."
OBR-0079,Cuéntame de Valparaíso Bohemio,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,narración oral,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Narración oral 2026, Zenith Claudia Navarrete Ruiz ($14.347.713)."
OBR-0080,Prácticas para un mal dormir,COMP-0091,Colectivx Escénicx Urgente Delirio,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0064,Valparaíso Profundo,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0136,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0091.
OBR-0081,Tertulias para tomar té: cuando la abuela se perdió y los insectos salieron a buscarla,COMP-0092,MikroEspacio Creativo,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0065,Mercado Puerto,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0136,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0092.
OBR-0082,Imaginaria,COMP-0054,Organización Comunitaria Artística Cultural y Deportiva La Coraje,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0066,Liceo Pedro Montt,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0136,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0054.
OBR-0083,Caleu,COMP-0041,Teatro ILUcIÓN,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0067,Espacio Comunitario Santa Ana,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0136,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0041.
OBR-0084,Esto es un teatro,COMP-0093,Espacio Ané,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0068,CEAC,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0136,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0093.
OBR-0085,Vuela,COMP-0073,Teatro La Washa,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0033,Centro Comunitario Las Cañas,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0136,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0073.
OBR-0086,Inextinguible,COMP-0094,Colaboraciones en Distancia,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0053,Centro Cultural IPA,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0136,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0094.
OBR-0087,Intoxicadas,COMP-0095,Compañía En Paños Menores,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0069,Sala de Artes Escénicas Rodelillo,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0136,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0095.
OBR-0088,Casa,COMP-0042,Teatro Desastre,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,lectura dramatizada,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0070,Casa Centro de Investigación Teatro La Peste,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0136,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0042.
OBR-0089,"Koreto, la magia continúa",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,vina-del-mar,ESP-0059,Teatro Municipal de Viña del Mar,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0137,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde FUN-0029.
OBR-0090,Voces,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,vina-del-mar,ESP-0059,Teatro Municipal de Viña del Mar,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0137,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde FUN-0030.
OBR-0091,La Mariita,COMP-0099,Compañía de Teatro Puquigre,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,puchuncavi,ESP-0077 | ESP-0078,Gimnasio Municipal de Puchuncaví | Sede Caracol de Horcón,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0141 | FUE-0142 | FUE-0143,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0099.
OBR-0092,La Plaza,COMP-0087,Compañía Moviendo Hilos,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,marionetas,familiar,40,putaendo,ESP-0075,Escuela María Leiva de Las Coimas,NO ENCONTRADO,NO ENCONTRADO,"Lenguaje gestual, sonidos incidentales y música del mundo; personajes como payasos, el perro Piruetas, vecinos y niños.",FUE-0146,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0087.
OBR-0093,El Viaje de los Caracoles,COMP-0018,Teatro Ánima,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,quillota,ESP-0016,Centro Cultural Leopoldo Silva Reynoard,FES-0041,Ciclo de Teatro Familiar de Quillota,NO ENCONTRADO,FUE-0156,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0018.
OBR-0094,El Principito,COMP-0104,Teatro AlmaZen,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,quillota,ESP-0016,Centro Cultural Leopoldo Silva Reynoard,FES-0041,Ciclo de Teatro Familiar de Quillota,NO ENCONTRADO,FUE-0156,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0104.
OBR-0095,Tico y la Piedra Mágica,COMP-0105,Proyectico Títeres Educativos,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,quillota,ESP-0016,Centro Cultural Leopoldo Silva Reynoard,FES-0041,Ciclo de Teatro Familiar de Quillota,NO ENCONTRADO,FUE-0156,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0105.
OBR-0096,Día de Mierclown,COMP-0106,Cía. Manga de Fracasados,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,quillota,ESP-0016,Centro Cultural Leopoldo Silva Reynoard,FES-0041,Ciclo de Teatro Familiar de Quillota,NO ENCONTRADO,FUE-0156,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0106.
OBR-0097,"El perro, la pulga y Robi salvan el río",COMP-0107,Los Teatristas,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,infantil,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Espectáculo musical-teatral sobre la protección del agua y el ecosistema del río Aconcagua, presentado a escolares de Los Andes en el ciclo 'Patio Cultural' (septiembre de 2026), con itinerancia posterior por establecimientos de la cuenca del Aconcagua.",FUE-0157,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0107.
OBR-0098,Alas de fuego,COMP-0108,Teatro Profesional Onirus,Horacio Videla,NO ENCONTRADO,NO ENCONTRADO,pasacalle,NO ENCONTRADO,NO ENCONTRADO,rinconada,NO ENCONTRADO,NO ENCONTRADO,FES-0042,Teatro a Mil en la Región de Valparaíso,"Pasacalle con 25 actores, máscaras, circo y malabarismo.",FUE-0158,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0108.
OBR-0099,Artículo 161,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,quillota,ESP-0006,Teatro Rodolfo Bravo del Centro Cultural Municipal Leopoldo Silva Reynoard,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0155,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde FUN-0041.
OBR-0100,La Remolienda,COMP-0109,Taller Municipal de Teatro de Quillota,NO ENCONTRADO,Alejandro Sieveking,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Muestra de proceso interactiva del grupo juvenil-adulto en el hall del Centro Cultural (5 de julio de 2025, jornada Artes Integradas).",FUE-0159 | FUE-0160 | FUE-0063,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0109.
OBR-0101,El motín contra Portales,NO ENCONTRADO,NO ENCONTRADO,Ivo Herrera,Ivo Herrera,2025,teatro callejero (historia local),NO ENCONTRADO,NO ENCONTRADO,quillota,ESP-0079,Colegio Canadá de Quillota,NO ENCONTRADO,NO ENCONTRADO,"Obra de teatro callejero sobre historia local de Quillota producida por el Centro Cultural Leopoldo Silva Reynoard; dirección y dramaturgia de Ivo Herrera, diseño integral de Alonso Machuca; elenco de la Región de Valparaíso: Estefanía Aedo, Ernesto Briones, Diana del Río, Carmen Gloria Donoso y José Mendoza. Estreno 12 de julio de 2025; presentaciones en espacios públicos y funciones escolares hasta octubre de 2025, acompañadas por Fiesta Bohemia y Marilyn Cantora. Financiada por Espacios Culturales Bajo Convenio, Red Cultura 2024.",FUE-0159,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
OBR-0102,Tibia,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,práctica performativa,NO ENCONTRADO,NO ENCONTRADO,quillota,ESP-0006,Teatro Rodolfo Bravo del Centro Cultural Municipal Leopoldo Silva Reynoard,NO ENCONTRADO,NO ENCONTRADO,"Práctica performativa sobre modos de relación entre materiales y cuerpos; iniciada en 2022 en el ciclo de residencias Proximidades Expositivas (Buenos Aires); financiada por el Fondo Nacional de Fomento y Desarrollo de las Artes. Función escolar y para público general, gratuita, a fines de julio de 2025.",FUE-0159,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Compañía o artista no nombrados en el boletín.
OBR-0103,El Invitado,NO ENCONTRADO,NO ENCONTRADO,Gonzalo Pinto,Juan Radrigán,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,los-andes,ESP-0001,Centro Cultural de Los Andes,NO ENCONTRADO,NO ENCONTRADO,Drama con humor y crítica social; elenco Daniela Lhorente y Claudio González Ravanal.,FUE-0161,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Compañía no indicada.
