id,nombre,alias,comuna,comuna_nombre,provincia,anio_creacion,periodicidad,organizacion,espacios,espacios_nombre,companias,companias_nombre,obras,obras_nombre,numero_versiones,fechas,web,instagram,facebook,descripcion,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
FES-0023,TEGE — Festival latinoamericano de actividades escénicas con temáticas de género,TEGE,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Kathia Javiera Schulz Hernández (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,4,2022 | 2024,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0125 | FUE-0105,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"II Festival (2022, $49.819.962); IV Festival (2024, $40.359.799). Comuna no indicada."
FES-0024,GESTA — Festival de artes escénicas de mujeres,GESTA,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,6,2022 | 2023,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0125 | FUE-0118,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'6to Festival de Artes escénicas de mujeres, Gesta' (2022, Agrupación cultural Deportiva Social, $42.829.581) y 'GESTA 6ta versión' (2023, Paula Alejandra Céspedes Vergara, $48.240.590): la misma sexta versión aparece en dos convocatorias; por confirmar. Comuna no indicada."
FES-0025,Danzalborde,NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Sociedad de Artes Escénicas Escenalborde Limitada,NO ENCONTRADO,NO ENCONTRADO,COMP-0053,Centro Cultural Escenalborde,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2023,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0118,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'Danzalborde 18 años, construyendo una nueva realidad' (2023, $49.475.145): festival de danza con 18 años hacia 2023. Comuna deducida del nombre del organizador (Escenalborde, Valparaíso); por confirmar."
FES-0026,Festival de la Niñez Hijuelas,NO ENCONTRADO,hijuelas,Hijuelas,quillota,NO ENCONTRADO,NO ENCONTRADO,Sabia Escuela de Saberes,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,1,2023,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0118,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'I Festival de la Niñez Hijuelas' (Festivales y Encuentros Regionales 2023, $24.997.166)."
FES-0027,Encuentro Laboratorios Escénicos Valparaíso (SATORI),SATORI | Encuentro Laboratorios Escénicos Valparaíso,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2022 | 2023,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0125 | FUE-0118,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"2022: Mariela Soledad Laterra ($19.375.000); 2023: 'SATORI: Encuentro Laboratorios Escénicos Valparaíso', Natalia Francisca Silva Valenzuela ($21.528.000)."
FES-0028,Escena en Riel — Festival de Teatro en Villa Alemana,Escena en Riel,villa-alemana,Villa Alemana,marga-marga,NO ENCONTRADO,NO ENCONTRADO,Claudia Andrea Bravo Bonulef (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2022,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0125,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'Festival de Teatro en Villa Alemana: Escena en Riel' (Festivales y Encuentros Regionales 2022, $21.411.760)."
FES-0029,MIXTAS,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Katherine Elizabeth López Soto (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2022,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0125,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Festivales y Encuentros Regionales 2022 ($21.959.994). Comuna no indicada.
FES-0030,¡Deja tu drama volar! — Festival de Dramaturgia de Mujeres Porteñas,Deja tu drama volar,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Amanda Adelaida Borgoño Infante (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,1,2022,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0125,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'Primer Festival de Dramaturgia de Mujeres Porteñas ¡DEJA TU DRAMA VOLAR! Mujeres Creando Teatro, Valparaíso 2022' ($24.864.340)."
FES-0031,Encuentro de Artes Escénicas e Inclusión Inversa de Valparaíso,NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,El Pueblo de Piuretlandia,NO ENCONTRADO,NO ENCONTRADO,COMP-0070,El Pueblo de Piuretlandia,NO ENCONTRADO,NO ENCONTRADO,1,2022,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0125,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,'Primer Encuentro de Artes Escénicas e Inclusión Inversa de Valparaíso - Chile 2022' ($24.714.094).
FES-0032,Ciclo de Teatro en San Pedro de Putupur,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Angélica Estefanía Díaz Díaz (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2,2022 | 2025,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0125 | FUE-0099,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Primera edición 2022 ($13.075.716); '2° Edición' 2025 ($14.339.444). Localidad San Pedro de Putupur; comuna no indicada (posiblemente Quillota, por confirmar)."
FES-0033,CIMAC — Congreso Internacional de Malabarismo y Artes Circenses,CIMAC,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Centro Cultural Malabicirco,NO ENCONTRADO,NO ENCONTRADO,COMP-0028,Malabicirco,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2023 | 2024,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0118,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'CIMAC Valparaíso 2023-2024' (Festivales y encuentros de trayectoria, $69.144.003)."
FES-0034,Festival Danza Quilpué Danza,Quilpué Danza,quilpue,Quilpué,marga-marga,NO ENCONTRADO,NO ENCONTRADO,Katherine Patricia Salvo Ríos (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,22,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0095,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'22º Festival Danza Quilpué Danza' (Festivales y Encuentros Regionales 2026, $14.661.617)."
FES-0035,Festival Itinerante de Narración Oral del Valle del Aconcagua,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Magda Raquel Sánchez Martínez (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,1,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0095,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'Primer Festival Itinerante de Narración Oral del Valle del Aconcagua' (2026, $22.835.221). Comunas del Valle del Aconcagua no detalladas."
FES-0036,"Festival de artes escénicas en escaleras, Valparaíso",NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Camila Paz Guerrero Escobar (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,1,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0095,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'Primer festival de artes escénicas en escaleras, Valparaíso' (2026, $16.105.330)."
FES-0037,Paraísos Creativos — Encuentro de Educación Artística comprometida con las jóvenes audiencias,Paraísos Creativos,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Organización Comunitaria Artística Cultural y Deportiva La Coraje,NO ENCONTRADO,NO ENCONTRADO,COMP-0054,Organización Comunitaria Artística Cultural y Deportiva La Coraje,NO ENCONTRADO,NO ENCONTRADO,3,2024,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0105,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'PARAISOS CREATIVOS: 3er Encuentro…' (Festivales y Encuentros Regionales 2024, $26.353.675). Comuna según Puntos de Cultura (La Coraje, Valparaíso)."
FES-0038,Trenzando Puntos de Fuga,Puntos de Fuga,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2025,NO ENCONTRADO,"Red Ramal Cultural, con la Seremi de las Culturas, las Artes y el Patrimonio y municipalidades participantes",ESP-0071,Centro Cultural de La Calera,COMP-0097,Compañía de Teatro Experimental La Sutil,NO ENCONTRADO,NO ENCONTRADO,2,2025 | 2026-09-05,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0140,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Circuito itinerante regional de música, teatro y folclor: primera etapa 2025; segunda etapa 2026 en 12 comunas (Quintero, Concón, Zapallar, Olmué, La Calera, Quillota, Papudo, Petorca, Cabildo, Puchuncaví, La Cruz, Limache). Sin comuna única. En La Calera participaron además la Orquesta Municipal de La Calera y el grupo folclórico Voces al Viento (Paihuén, Cabildo)."
FES-0039,FESTIGOC — Festival Estudiantil de Teatro Escuela Gastón Ormazábal Cabrera,FESTIGOC | Festival Escolar de Teatro de Putaendo,putaendo,Putaendo,san-felipe-de-aconcagua,2024,anual (proyectada),Escuela Gastón Ormazábal Cabrera (Putaendo),ESP-0074,Galpón del Parque Municipal de Putaendo,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,1,2024-08-28/2024-08-29,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0147,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Teatro escolar del Valle del Aconcagua: ocho establecimientos de Putaendo (Escuela Gastón Ormazábal Cabrera, Colegio San Alberto, Liceo Rinconada de Silva), San Felipe (Liceo Industrial, Colegio Santa Juana de Arco) y Santa María (Escuela Artística El Tambo, Escuela Santa Filomena, Escuela Julio Tejedor Zúñiga); cinco obras por día, 10:00–13:00; invitados Nathalie Nicloux, Alejandro Trejo y Valentina Flores; unas 1.000 personas de público según su director."
FES-0040,Culto — Quincena Cultural de Zapallar,Culto | Quincena Cultural de Zapallar,zapallar,Zapallar,petorca,NO ENCONTRADO,NO ENCONTRADO,Antonia Cruz y Valentina Tagle (gestoras) con la Fundación Municipal de Cultura de Zapallar,ESP-0073,Teatro de Zapallar,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,8,2023-12-30/2024-01-14,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0149,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Principalmente artes visuales (unos 50 artistas); apertura con danza moderna (Josefina Greene y Pedro Greene) y cierre performático (Valentina Serrati con proyecto Sittaka, 13 de enero de 2024). No se mencionan compañías teatrales."
FES-0041,Ciclo de Teatro Familiar de Quillota,NO ENCONTRADO,quillota,Quillota,quillota,NO ENCONTRADO,NO ENCONTRADO,Centro Cultural Leopoldo Silva Reynoard (Municipalidad de Quillota),ESP-0016,Centro Cultural Leopoldo Silva Reynoard,COMP-0018 | COMP-0104 | COMP-0105 | COMP-0106,Teatro Ánima | Teatro AlmaZen | Proyectico Títeres Educativos | Cía. Manga de Fracasados,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2019-07-18/2019-07-20,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0156,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Vacaciones de invierno 2019: cuatro obras en tres días, $2.000 entrada general, público familiar."
FES-0042,Teatro a Mil en la Región de Valparaíso,Festival Internacional Teatro a Mil — circuito regional Valparaíso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Fundación Teatro a Mil,ESP-0061 | ESP-0082 | ESP-0059,Teatro Municipal de Casablanca | Centro Cultural de Casablanca | Teatro Municipal de Viña del Mar,COMP-0108,Teatro Profesional Onirus,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2016-01-03/2016-01-25 | 2025-01-17/2025-01-21 | 2026-01-18 | 2026-01-27,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0158 | FUE-0168 | FUE-0179,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Circuito regional gratuito de enero de 2016 en siete comunas de la región (no nombradas), con compañías de China, Bolivia, España y Argentina; en Rinconada: 'La fortuna de las canciones de Jilin' (Conjunto de Canto y Danza de Jilin, China, 13 de enero) y el pasacalle 'Alas de fuego' (Teatro Profesional Onirus, 24 de enero). Casablanca 2025: 'El brote' (Compañía Criolla, Argentina, dir. Emiliano Dionisi, 17 de enero, 20:00, Teatro Municipal), 'Amal en Casablanca' (The Walk Productions y Handspring Puppet Company, dir. artístico Amir Nizar Zuabi, 20 de enero, 19:30, frontis del Centro Cultural), 'La historia del Ramayana' (India, dir. M.N. Harikumar, 21 de enero, 20:00, Teatro Municipal). Compañías extranjeras sin registro propio. El municipio lleva 10 años con el convenio. Viña del Mar 2026: 'Mr. Bo' (Marie de Jongh, España, 18 de enero, 20:00) y 'El encanto del marioneta oriental' (Compañía de títeres de Rugao, China, 27 de enero, 20:00), gratuitas con inscripción previa; compañías extranjeras sin registro propio."
FES-0043,Festival Nacional de Danza de Los Andes,NO ENCONTRADO,los-andes,Los Andes,los-andes,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,ESP-0080,Gimnasio del Colegio María Auxiliadora de Los Andes,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,21,2025-07-18/2025-07-20,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0159,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"XXI versión (Gala de Danza 2025) en el marco de los 234 años de Los Andes: más de 500 bailarines, elencos escolares y academias, gratuito. Disciplina: danza."
FES-0044,Ciclo de teatro municipal de La Cruz,NO ENCONTRADO,la-cruz,La Cruz,quillota,NO ENCONTRADO,NO ENCONTRADO,"Departamento de Cultura, Municipalidad de La Cruz",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2025,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0162,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Mencionado en el balance municipal 2025 como 'ciclo de teatro con participación de niñas, niños y actores profesionales'; nombre, fechas, obras y compañías no publicados."
FES-0045,Ciclo Teatro Infantil del Teatro Municipal de San Felipe,NO ENCONTRADO,san-felipe,San Felipe,san-felipe-de-aconcagua,NO ENCONTRADO,mensual (último sábado de cada mes),Municipalidad de San Felipe — Teatro Municipal,ESP-0062,Teatro Municipal de San Felipe,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2022-10-22,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0170,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'Fábulas fabulosas' (cuentacuentos con música en vivo), sábado 22 de octubre de 2022, 12:00, entrada liberada; función adelantada por los feriados de fin de mes. Artista o compañía no indicados."
FES-0046,Festival Síntesis Teatral,FSTV | Festival Síntesis Teatral Valparaíso,valparaiso,Valparaíso,valparaiso,2016,"anual (mayo, Día Nacional del Teatro)","Laboratorio Anatomía Teatral, con la Seremi de las Culturas, Centex, el Parque Cultural de Valparaíso y la Municipalidad de Valparaíso",ESP-0054 | ESP-0003 | ESP-0018 | ESP-0002 | ESP-0016 | ESP-0089 | ESP-0062,Centex — Centro de Extensión del Ministerio de las Culturas | Parque Cultural de Valparaíso | Sala de Artes Escénicas Universidad de Playa Ancha | Centro Cultural San Antonio | Centro Cultural Leopoldo Silva Reynoard | Fundo San Jorge | Teatro Municipal de San Felipe,COMP-0013 | COMP-0124,Centro de Investigación Teatro La Peste | Laboratorio Anatomía Teatral,NO ENCONTRADO,NO ENCONTRADO,7,2022-05-11 | 2019-05-06/2019-05-26 | 2020-05,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0175 | FUE-0176 | FUE-0177 | FUE-0178,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"7ª edición inaugurada virtualmente el 11 de mayo de 2022 (canal de YouTube FSTV) con tres estrenos transmitidos. Comuna y organización no indicadas. Creado en 2016 para celebrar el Día Nacional del Teatro y el natalicio de Andrés Pérez. 2019 (4ª): 23 obras, 5 estrenos, 6 comunas, más de 30 presentaciones en 8 espacios, con reposiciones de 'Feroz' (Teatro La Peste) y 'Ella & Ella' (Omar Saavedra), compañías emergentes, teatro familiar y egresados de escuelas regionales; programa completo en laboratorioanatomiateatral.cl/folleto-fstv19 (pendiente). 2020 (5ª): primera versión por streaming. 2022 (7ª): inauguración virtual el 11 de mayo. Versión bajo el lema 'Derecho a la Utopía' con programación de emergencia (año no indicado)."
FES-0047,Mes del Teatro en la Región de Valparaíso 2022,Mes del Teatro 2022,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Seremi de las Culturas, las Artes y el Patrimonio de Valparaíso y espacios asociados",ESP-0003 | ESP-0053 | ESP-0022 | ESP-0087 | ESP-0054 | ESP-0004,Parque Cultural de Valparaíso | Centro Cultural IPA | Centro Cultural Gabriela Mistral | Cancha Quebrada Márquez | Centex — Centro de Extensión del Ministerio de las Culturas | Teatro Municipal Juan Bustos Ramírez,COMP-0116 | COMP-0008 | COMP-0117 | COMP-0118 | COMP-0039 | COMP-0119,Experimento Pierrot | Fundación OANI de Teatro | Abrapalabra | Ankalli Artes Escénicas | Cooperativa de Artes Escénicas de Valparaíso | Soporte Corporal,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2022-05-11/2022-05-28,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0175,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Programación regional del Mes del Teatro 2022 según el Ministerio.
FES-0048,Festival Internacional Santiago Off — extensión Región de Valparaíso,Santiago Off,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Fundación Santiago Off,ESP-0059,Teatro Municipal de Viña del Mar,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,19,2026-01-31,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0179,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"XIX Festival Internacional Santiago Off: 'Historia de amor para un alma vieja' (compañía FA, dir. Felipe Zambrano) en el Teatro Municipal de Viña del Mar, 31 de enero de 2026, 20:00, gratuita con inscripción."
